feature_name,feature_group,description,use_as_model_input,leakage_safe_explanation
timestamp,metadata,Tracking or provenance column; not used as a model input.,False,"Excluded from model inputs because it is target, provenance, split, threshold, label, or weight metadata."
site_id,metadata,Tracking or provenance column; not used as a model input.,False,"Excluded from model inputs because it is target, provenance, split, threshold, label, or weight metadata."
target_load_kw,label_or_weight,"Target-derived label, threshold, or sample weight; not a predictor.",False,"Excluded from model inputs because it is target, provenance, split, threshold, label, or weight metadata."
split,metadata,Tracking or provenance column; not used as a model input.,False,"Excluded from model inputs because it is target, provenance, split, threshold, label, or weight metadata."
row_number_by_site,metadata,Tracking or provenance column; not used as a model input.,False,"Excluded from model inputs because it is target, provenance, split, threshold, label, or weight metadata."
site_total_rows,metadata,Tracking or provenance column; not used as a model input.,False,"Excluded from model inputs because it is target, provenance, split, threshold, label, or weight metadata."
abs_diff_1h,ramp,Change/ramp feature computed from lagged values.,True,Known in advance or computed only from past/site training data.
abs_diff_24h,ramp,Change/ramp feature computed from lagged values.,True,Known in advance or computed only from past/site training data.
day_of_month,calendar,Known-in-advance calendar feature.,True,Known in advance or computed only from past/site training data.
day_of_week,calendar,Known-in-advance calendar feature.,True,Known in advance or computed only from past/site training data.
day_of_week_cos,cyclical_calendar,Sine/cosine encoding of a known calendar cycle.,True,Known in advance or computed only from past/site training data.
day_of_week_sin,cyclical_calendar,Sine/cosine encoding of a known calendar cycle.,True,Known in advance or computed only from past/site training data.
day_of_week_x_business_hour,interaction,Interaction among known calendar/operation variables and past-load features.,True,Known in advance or computed only from past/site training data.
day_of_year,calendar,Known-in-advance calendar feature.,True,Known in advance or computed only from past/site training data.
day_of_year_cos,cyclical_calendar,Sine/cosine encoding of a known calendar cycle.,True,Known in advance or computed only from past/site training data.
day_of_year_sin,cyclical_calendar,Sine/cosine encoding of a known calendar cycle.,True,Known in advance or computed only from past/site training data.
denom_zero_lag_168h,ratio,Safe ratio using lagged or shifted rolling features.,True,Known in advance or computed only from past/site training data.
denom_zero_lag_24h,ratio,Safe ratio using lagged or shifted rolling features.,True,Known in advance or computed only from past/site training data.
denom_zero_rolling_max_24h,ratio,Safe ratio using lagged or shifted rolling features.,True,Known in advance or computed only from past/site training data.
denom_zero_rolling_mean_168h,ratio,Safe ratio using lagged or shifted rolling features.,True,Known in advance or computed only from past/site training data.
denom_zero_rolling_mean_24h,ratio,Safe ratio using lagged or shifted rolling features.,True,Known in advance or computed only from past/site training data.
diff_168h,ramp,Change/ramp feature computed from lagged values.,True,Known in advance or computed only from past/site training data.
diff_1h,ramp,Change/ramp feature computed from lagged values.,True,Known in advance or computed only from past/site training data.
diff_24h,ramp,Change/ramp feature computed from lagged values.,True,Known in advance or computed only from past/site training data.
diff_3h,ramp,Change/ramp feature computed from lagged values.,True,Known in advance or computed only from past/site training data.
ewm_mean_168h,ewm,Shifted exponential moving average of past load.,True,Known in advance or computed only from past/site training data.
ewm_mean_24h,ewm,Shifted exponential moving average of past load.,True,Known in advance or computed only from past/site training data.
ewm_mean_6h,ewm,Shifted exponential moving average of past load.,True,Known in advance or computed only from past/site training data.
hour,calendar,Known-in-advance calendar feature.,True,Known in advance or computed only from past/site training data.
hour_cos,cyclical_calendar,Sine/cosine encoding of a known calendar cycle.,True,Known in advance or computed only from past/site training data.
hour_sin,cyclical_calendar,Sine/cosine encoding of a known calendar cycle.,True,Known in advance or computed only from past/site training data.
hour_x_business_hour,interaction,Interaction among known calendar/operation variables and past-load features.,True,Known in advance or computed only from past/site training data.
hour_x_weekend,interaction,Interaction among known calendar/operation variables and past-load features.,True,Known in advance or computed only from past/site training data.
hours_since_recent_peak_90,peak_memory,Recent peak memory based on train-only peak thresholds and past loads.,True,Known in advance or computed only from past/site training data.
is_business_hour,business_period,Known-in-advance operational period indicator.,True,Known in advance or computed only from past/site training data.
is_evening_departure_period,business_period,Known-in-advance operational period indicator.,True,Known in advance or computed only from past/site training data.
is_midday_period,business_period,Known-in-advance operational period indicator.,True,Known in advance or computed only from past/site training data.
is_month_end,calendar,Known-in-advance calendar feature.,True,Known in advance or computed only from past/site training data.
is_month_start,calendar,Known-in-advance calendar feature.,True,Known in advance or computed only from past/site training data.
is_morning_arrival_period,business_period,Known-in-advance operational period indicator.,True,Known in advance or computed only from past/site training data.
is_night,business_period,Known-in-advance operational period indicator.,True,Known in advance or computed only from past/site training data.
is_weekend,calendar,Known-in-advance calendar feature.,True,Known in advance or computed only from past/site training data.
lag_120h,lag,Past load value from the same site.,True,Known in advance or computed only from past/site training data.
lag_12h,lag,Past load value from the same site.,True,Known in advance or computed only from past/site training data.
lag_144h,lag,Past load value from the same site.,True,Known in advance or computed only from past/site training data.
lag_168h,lag,Past load value from the same site.,True,Known in advance or computed only from past/site training data.
lag_168h_normalized_by_train_mean,lag,Past load value from the same site.,True,Known in advance or computed only from past/site training data.
lag_168h_x_weekend,interaction,Interaction among known calendar/operation variables and past-load features.,True,Known in advance or computed only from past/site training data.
lag_1h,lag,Past load value from the same site.,True,Known in advance or computed only from past/site training data.
lag_1h_normalized_by_train_mean,lag,Past load value from the same site.,True,Known in advance or computed only from past/site training data.
lag_24h,lag,Past load value from the same site.,True,Known in advance or computed only from past/site training data.
lag_24h_normalized_by_train_mean,lag,Past load value from the same site.,True,Known in advance or computed only from past/site training data.
lag_24h_x_weekend,interaction,Interaction among known calendar/operation variables and past-load features.,True,Known in advance or computed only from past/site training data.
lag_2h,lag,Past load value from the same site.,True,Known in advance or computed only from past/site training data.
lag_336h,lag,Past load value from the same site.,True,Known in advance or computed only from past/site training data.
lag_3h,lag,Past load value from the same site.,True,Known in advance or computed only from past/site training data.
lag_48h,lag,Past load value from the same site.,True,Known in advance or computed only from past/site training data.
lag_6h,lag,Past load value from the same site.,True,Known in advance or computed only from past/site training data.
lag_72h,lag,Past load value from the same site.,True,Known in advance or computed only from past/site training data.
lag_96h,lag,Past load value from the same site.,True,Known in advance or computed only from past/site training data.
missing_hour_lag_168h,missing_indicator,Past or current missing-hour indicator from the standardized hourly data.,True,Known in advance or computed only from past/site training data.
missing_hour_lag_1h,missing_indicator,Past or current missing-hour indicator from the standardized hourly data.,True,Known in advance or computed only from past/site training data.
missing_hour_lag_24h,missing_indicator,Past or current missing-hour indicator from the standardized hourly data.,True,Known in advance or computed only from past/site training data.
missing_hour_rolling_count_168h,missing_indicator,Past or current missing-hour indicator from the standardized hourly data.,True,Known in advance or computed only from past/site training data.
missing_hour_rolling_count_24h,missing_indicator,Past or current missing-hour indicator from the standardized hourly data.,True,Known in advance or computed only from past/site training data.
month,calendar,Known-in-advance calendar feature.,True,Known in advance or computed only from past/site training data.
month_cos,cyclical_calendar,Sine/cosine encoding of a known calendar cycle.,True,Known in advance or computed only from past/site training data.
month_sin,cyclical_calendar,Sine/cosine encoding of a known calendar cycle.,True,Known in advance or computed only from past/site training data.
no_previous_peak_flag,peak_memory,Recent peak memory based on train-only peak thresholds and past loads.,True,Known in advance or computed only from past/site training data.
quarter,calendar,Known-in-advance calendar feature.,True,Known in advance or computed only from past/site training data.
ramp_rate_1h,ramp,Change/ramp feature computed from lagged values.,True,Known in advance or computed only from past/site training data.
ramp_rate_24h,ramp,Change/ramp feature computed from lagged values.,True,Known in advance or computed only from past/site training data.
